[Latitude],[Longitude],[Value]
0.16667,99.16667,0
0.16667,99.33334,0.000001
0.16667,103.83343,0.00074
0.16667,104.0001,0.00058
0.16667,104.16677,0.00037
0.16667,104.33344,0.00017
0.16667,104.66678,0.0788
0.16667,104.83345,0.06677
0.16667,105.00012,0.06053
0.16667,105.16679,0.06081
0.16667,105.33346,0.04371
0.16667,105.50013,0.03367
0.16667,105.6668,0.02495
0.16667,105.83347,0.0184
0.16667,106.00014,0.01397
0.16667,106.16681,0.01037
0.16667,106.33348,0.00707
0.16667,106.50015,0.00451
0.16667,106.66682,0.00208
0.16667,106.83349,0.00061
0.16667,107.00016,0.00081
0.16667,107.16683,0.00061
0.16667,107.3335,0.00063
0.16667,107.50017,0.00059
0.16667,107.66684,0.00068
0.16667,107.83351,0.00662
0.16667,108.00018,0.02658
0.16667,108.16685,0.00107
0.16667,108.33352,0.00005
0.16667,108.50019,0
0.16667,108.66686,0
0.16667,108.83353,0
0.16667,109.0002,0
0.16667,117.50037,0.00242
0.16667,117.66704,0.01144
0.16667,117.83371,0.01667
0.16667,118.00038,0.01348
0.16667,118.16705,0.02498
0.16667,118.33372,0.01281
0.16667,118.50039,0.03048
0.16667,118.66706,0.05686
0.16667,118.83373,0.06909
0.16667,119.0004,0.06805
0.16667,119.16707,0.06515
0.16667,119.33374,0.06837
0.16667,119.50041,0.07475
0.16667,119.66708,0.07867
0.16667,120.16709,0
0.16667,120.33376,0
0.16667,120.50043,0
0.16667,120.6671,0
0.16667,120.83377,0
0.16667,121.00044,0
0.16667,121.16711,0.00001
0.16667,121.33378,0.00002
0.16667,121.50045,0.00005
0.16667,121.66712,0.00009
0.16667,121.83379,0.00015
0.16667,122.00046,0.00027
0.16667,122.16713,0.00047
0.16667,122.3338,0.00079
0.16667,122.50047,0.00118
0.16667,122.66714,0.0017
0.16667,122.83381,0.0023
0.16667,123.00048,0.00295
0.16667,123.16715,0.00357
0.16667,123.33382,0.00401
0.16667,123.50049,0.00412
0.16667,123.66716,0.00403
0.16667,123.83383,0.00365
0.16667,124.0005,0.00306
0.16667,124.16717,0.00229
0.16667,124.33384,0.0015
0.16667,124.50051,0.0009
0.16667,124.66718,0.00051
0.16667,124.83385,0.00053
0.16667,125.00052,0.00075
0.16667,125.16719,0.00128
0.16667,125.33386,0.00228
0.16667,125.50053,0.00394
0.16667,125.6672,0.00655
0.16667,125.83387,0.01009
0.16667,126.00054,0.01329
0.16667,126.16721,0.01907
0.16667,126.33388,0.02229
0.16667,126.50055,0.02857
0.16667,126.66722,0.03488
0.16667,126.83389,0.04069
0.16667,127.00056,0.04612
0.16667,127.16723,0.04805
0.16667,127.3339,0.03798
0.16667,127.50057,0.03244
0.16667,127.66724,0.02729
0.16667,128.00058,0.00141
0.16667,128.16725,0.00042
0.16667,128.33392,0.00019
0.16667,128.50059,0.00014
0.16667,128.66726,0.00012
0.16667,128.83393,0.00011
0.16667,129.0006,0.00019
0.16667,129.16727,0.0003
0.16667,129.33394,0.00054
0.16667,129.50061,0.00099
0.16667,129.66728,0.00168
0.16667,129.83395,0.00328
0.33334,103.83343,0.00205
0.33334,104.0001,0.0017
0.33334,104.16677,0.00111
0.33334,104.50011,0.00802
0.33334,104.66678,0.07937
0.33334,104.83345,0.07835
0.33334,105.00012,0.06553
0.33334,105.16679,0.05853
0.33334,105.33346,0.04509
0.33334,105.50013,0.03487
0.33334,105.6668,0.02626
0.33334,105.83347,0.01958
0.33334,106.00014,0.01536
0.33334,106.16681,0.01169
0.33334,106.33348,0.00803
0.33334,106.50015,0.00515
0.33334,106.66682,0.00273
0.33334,106.83349,0.00173
0.33334,107.00016,0.0027
0.33334,107.16683,0.00491
0.33334,107.3335,0.00692
0.33334,107.50017,0.00458
0.33334,107.66684,0.00815
0.33334,107.83351,0.00809
0.33334,108.00018,0.01696
0.33334,108.16685,0.00122
0.33334,108.33352,0.00008
0.33334,108.50019,0.00003
0.33334,108.66686,0.00003
0.33334,108.83353,0.00001
0.33334,117.66704,0.02227
0.33334,117.83371,0.04943
0.33334,118.00038,0.10522
0.33334,118.16705,0.18201
0.33334,118.33372,0.39863
0.33334,118.50039,0.31688
0.33334,118.66706,0.2347
0.33334,118.83373,0.20055
0.33334,119.0004,0.16801
0.33334,119.16707,0.12348
0.33334,119.33374,0.0989
0.33334,119.50041,0.09698
0.33334,119.66708,0.0998
0.33334,119.83375,0.09722
0.33334,120.33376,0
0.33334,120.50043,0
0.33334,120.6671,0
0.33334,120.83377,0
0.33334,121.00044,0
0.33334,121.16711,0.00001
0.33334,121.33378,0.00002
0.33334,121.50045,0.00004
0.33334,121.66712,0.00008
0.33334,121.83379,0.00014
0.33334,122.00046,0.00024
0.33334,122.16713,0.0004
0.33334,122.3338,0.0006
0.33334,122.50047,0.00082
0.33334,122.66714,0.00107
0.33334,122.83381,0.00123
0.33334,123.00048,0.00121
0.33334,123.16715,0.00084
0.33334,124.0005,0.00353
0.33334,124.16717,0.00253
0.33334,124.33384,0.00172
0.33334,124.50051,0.00109
0.33334,124.66718,0.00071
0.33334,124.83385,0.00067
0.33334,125.00052,0.00078
0.33334,125.16719,0.00129
0.33334,125.33386,0.00243
0.33334,125.50053,0.00438
0.33334,125.6672,0.00723
0.33334,125.83387,0.0117
0.33334,126.00054,0.01696
0.33334,126.16721,0.02242
0.33334,126.33388,0.02779
0.33334,126.50055,0.03319
0.33334,126.66722,0.03974
0.33334,126.83389,0.04576
0.33334,127.00056,0.05018
0.33334,127.16723,0.05256
0.33334,127.3339,0.01781
0.33334,127.50057,0.035
0.33334,127.66724,0.02488
0.33334,128.00058,0.00201
0.33334,128.16725,0.00073
0.33334,128.33392,0.00035
0.33334,128.50059,0.00018
0.33334,128.83393,0.00034
0.33334,129.0006,0.00038
0.33334,129.16727,0.0004
0.33334,129.33394,0.00054
0.33334,129.50061,0.00095
0.33334,129.66728,0.00155
0.33334,129.83395,0.00341
0.50001,103.50009,0.00255
0.50001,103.66676,0.00328
0.50001,103.83343,0.00416
0.50001,104.0001,0.00455
0.50001,104.16677,0.00514
0.50001,104.33344,0.00541
0.50001,104.50011,0.01777
0.50001,104.66678,0.08279
0.50001,104.83345,0.08027
0.50001,105.00012,0.06782
0.50001,105.16679,0.05932
0.50001,105.33346,0.04712
0.50001,105.50013,0.03737
0.50001,105.6668,0.02894
0.50001,105.83347,0.022
0.50001,106.00014,0.01773
0.50001,106.16681,0.01388
0.50001,106.33348,0.0102
0.50001,106.50015,0.00689
0.50001,106.66682,0.00437
0.50001,106.83349,0.00373
0.50001,107.00016,0.0049
0.50001,107.16683,0.0078
0.50001,107.3335,0.01619
0.50001,107.50017,0.03032
0.50001,107.66684,0.03867
0.50001,107.83351,0.05153
0.50001,108.00018,0.02788
0.50001,108.16685,0.00344
0.50001,108.33352,0.00083
0.50001,108.50019,0.00059
0.50001,108.66686,0.00031
0.50001,117.66704,0.04425
0.50001,117.83371,0.07637
0.50001,118.00038,0.14694
0.50001,118.16705,0.24521
0.50001,118.33372,0.41391
0.50001,118.50039,0.34258
0.50001,118.66706,0.3037
0.50001,118.83373,0.27994
0.50001,119.0004,0.23535
0.50001,119.16707,0.17216
0.50001,119.33374,0.13575
0.50001,119.50041,0.12869
0.50001,119.66708,0.12683
0.50001,119.83375,0.12446
0.50001,120.00042,0.09869
0.50001,120.6671,0
0.50001,121.66712,0
0.50001,122.50047,0.00028
0.50001,122.66714,0.00021
0.50001,124.66718,0.00129
0.50001,124.83385,0.001
0.50001,125.00052,0.00107
0.50001,125.16719,0.00162
0.50001,125.33386,0.00312
0.50001,125.50053,0.00557
0.50001,125.6672,0.00933
0.50001,125.83387,0.01471
0.50001,126.00054,0.02087
0.50001,126.16721,0.02748
0.50001,126.33388,0.03279
0.50001,126.50055,0.03847
0.50001,126.66722,0.04477
0.50001,126.83389,0.05004
0.50001,127.00056,0.05392
