[Latitude],[Longitude],[Value]
0.16667,99.16667,0
0.16667,99.33334,0
0.16667,103.83343,0.00054
0.16667,104.0001,0.00039
0.16667,104.16677,0.00022
0.16667,104.33344,0.00009
0.16667,104.66678,0.04044
0.16667,104.83345,0.02912
0.16667,105.00012,0.0232
0.16667,105.16679,0.01905
0.16667,105.33346,0.01278
0.16667,105.50013,0.00946
0.16667,105.6668,0.00694
0.16667,105.83347,0.00511
0.16667,106.00014,0.00367
0.16667,106.16681,0.00274
0.16667,106.33348,0.00222
0.16667,106.50015,0.00216
0.16667,106.66682,0.00199
0.16667,106.83349,0.00165
0.16667,107.00016,0.0013
0.16667,107.16683,0.00068
0.16667,107.3335,0.00023
0.16667,107.50017,0.00455
0.16667,107.66684,0.01178
0.16667,107.83351,0.03044
0.16667,108.00018,0.05794
0.16667,108.16685,0.00232
0.16667,108.33352,0.0001
0.16667,108.50019,0.00001
0.16667,108.66686,0
0.16667,108.83353,0
0.16667,109.0002,0
0.16667,117.50037,0.00169
0.16667,117.66704,0.00423
0.16667,117.83371,0.00253
0.16667,118.00038,0.00292
0.16667,118.16705,0.01098
0.16667,118.33372,0.00971
0.16667,118.50039,0.02924
0.16667,118.66706,0.0489
0.16667,118.83373,0.05118
0.16667,119.0004,0.04977
0.16667,119.16707,0.04798
0.16667,119.33374,0.0483
0.16667,119.50041,0.04647
0.16667,119.66708,0.04424
0.16667,120.16709,0
0.16667,120.33376,0.00001
0.16667,120.50043,0.00003
0.16667,120.6671,0.00004
0.16667,120.83377,0.00008
0.16667,121.00044,0.00013
0.16667,121.16711,0.0002
0.16667,121.33378,0.00033
0.16667,121.50045,0.00051
0.16667,121.66712,0.00076
0.16667,121.83379,0.00104
0.16667,122.00046,0.00139
0.16667,122.16713,0.00179
0.16667,122.3338,0.00221
0.16667,122.50047,0.00262
0.16667,122.66714,0.00296
0.16667,122.83381,0.00321
0.16667,123.00048,0.0033
0.16667,123.16715,0.00328
0.16667,123.33382,0.00294
0.16667,123.50049,0.00234
0.16667,123.66716,0.00167
0.16667,123.83383,0.00107
0.16667,124.0005,0.00064
0.16667,124.16717,0.00029
0.16667,124.33384,0.00025
0.16667,124.50051,0.00023
0.16667,124.66718,0.00022
0.16667,124.83385,0.0003
0.16667,125.00052,0.00063
0.16667,125.16719,0.00136
0.16667,125.33386,0.00259
0.16667,125.50053,0.00432
0.16667,125.6672,0.00645
0.16667,125.83387,0.00903
0.16667,126.00054,0.01206
0.16667,126.16721,0.01572
0.16667,126.33388,0.01991
0.16667,126.50055,0.02422
0.16667,126.66722,0.02833
0.16667,126.83389,0.03226
0.16667,127.00056,0.03632
0.16667,127.16723,0.03938
0.16667,127.3339,0.03308
0.16667,127.50057,0.02952
0.16667,127.66724,0.02731
0.16667,128.00058,0.00022
0.16667,128.16725,0.00006
0.16667,128.33392,0.00012
0.16667,128.50059,0.00026
0.16667,128.66726,0.00042
0.16667,128.83393,0.00063
0.16667,129.0006,0.0008
0.16667,129.16727,0.00124
0.16667,129.33394,0.00178
0.16667,129.50061,0.00238
0.16667,129.66728,0.00301
0.16667,129.83395,0.00349
0.33334,103.83343,0.00146
0.33334,104.0001,0.00113
0.33334,104.16677,0.0007
0.33334,104.50011,0.00406
0.33334,104.66678,0.03897
0.33334,104.83345,0.03292
0.33334,105.00012,0.02488
0.33334,105.16679,0.01935
0.33334,105.33346,0.01325
0.33334,105.50013,0.0101
0.33334,105.6668,0.00761
0.33334,105.83347,0.00578
0.33334,106.00014,0.00465
0.33334,106.16681,0.00444
0.33334,106.33348,0.00446
0.33334,106.50015,0.00448
0.33334,106.66682,0.00437
0.33334,106.83349,0.0042
0.33334,107.00016,0.00216
0.33334,107.16683,0.00184
0.33334,107.3335,0.00443
0.33334,107.50017,0.00532
0.33334,107.66684,0.0236
0.33334,107.83351,0.0431
0.33334,108.00018,0.03868
0.33334,108.16685,0.00243
0.33334,108.33352,0.00015
0.33334,108.50019,0.00005
0.33334,108.66686,0.00004
0.33334,108.83353,0.00002
0.33334,117.66704,0.01853
0.33334,117.83371,0.01955
0.33334,118.00038,0.02982
0.33334,118.16705,0.0739
0.33334,118.33372,0.17901
0.33334,118.50039,0.51438
0.33334,118.66706,0.59476
0.33334,118.83373,0.40183
0.33334,119.0004,0.18182
0.33334,119.16707,0.08923
0.33334,119.33374,0.07153
0.33334,119.50041,0.06708
0.33334,119.66708,0.06034
0.33334,119.83375,0.05494
0.33334,120.33376,0.00001
0.33334,120.50043,0.00002
0.33334,120.6671,0.00003
0.33334,120.83377,0.00006
0.33334,121.00044,0.00009
0.33334,121.16711,0.00015
0.33334,121.33378,0.0003
0.33334,121.50045,0.00046
0.33334,121.66712,0.00067
0.33334,121.83379,0.00091
0.33334,122.00046,0.00116
0.33334,122.16713,0.0014
0.33334,122.3338,0.0016
0.33334,122.50047,0.00175
0.33334,122.66714,0.00183
0.33334,122.83381,0.00175
0.33334,123.00048,0.00141
0.33334,123.16715,0.0008
0.33334,124.0005,0.00094
0.33334,124.16717,0.00037
0.33334,124.33384,0.00036
0.33334,124.50051,0.00036
0.33334,124.66718,0.00046
0.33334,124.83385,0.00061
0.33334,125.00052,0.00092
0.33334,125.16719,0.0017
0.33334,125.33386,0.00333
0.33334,125.50053,0.0057
